21,401	4,615	100
21,7	4,65	110
22	4,61	80
22,3	4,615	110
22,601	4,625	90
22,901	4,62	120
23,2	4,615	100
23,5	4,62	120
23,8	4,61	90
24,101	4,61	90
24,4	4,62	120
24,7	4,615	100
25	4,615	140
25,3	4,62	60
25,601	4,615	130
25,9	4,62	110
26,2	4,615	100
26,5	4,61	90
26,801	4,61	70
27,1	4,61	110
27,4	4,615	120
27,7	4,605	120
28	4,61	50
28,301	4,615	130
28,6	4,62	80
28,9	4,615	120
29,2	4,615	140
29,5	4,62	100
29,801	4,615	140
MIN=0	-10	0
MAX=30	10	10
SCALE=30	5	5
DEC=1	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
0,1	4,795	130
0,401	4,785	80
0,6	4,795	100
0,8	4,79	100
1	4,78	80
1,3	4,79	170
1,6	4,785	60
1,8	4,79	100
2,101	4,79	60
2,401	4,795	110
2,701	4,79	90
3	4,795	80
3,3	4,8	130
3,601	4,79	100
3,901	4,79	110
4,201	4,79	100
4,5	4,79	120
4,8	4,795	130
5,101	4,79	90
5,401	4,795	160
5,7	4,795	120
6	4,795	40
6,301	4,79	110
6,601	4,775	40
6,901	4,795	170
7,2	4,78	110
7,5	4,795	90
7,801	4,79	90
8,101	4,79	80
8,401	4,795	120
8,7	4,79	80
9	4,785	130
9,301	4,79	90
9,601	4,795	130
9,9	4,805	80
10,2	4,795	110
10,501	4,795	140
10,801	4,795	140
11,101	4,795	130
11,4	4,78	140
11,7	4,785	130
12,001	4,79	100
12,301	4,79	150
12,601	4,785	70
12,9	4,77	80
13,2	4,77	150
13,501	4,795	130
13,801	4,79	90
14,1	4,795	80
14,4	4,77	90
14,7	4,795	70
15,001	4,785	70
15,301	4,795	120
15,6	4,795	140
15,9	4,78	110
16,2	4,785	110
16,501	4,78	140
16,801	4,795	140
17,1	4,79	140
17,4	4,795	130
17,701	4,79	110
18,001	4,79	110
18,3	4,79	100
18,6	4,795	90
18,9	4,795	70
19,201	4,79	170
19,501	4,79	70
19,8	4,79	130
20,1	4,765	50
20,4	4,79	100
20,701	4,775	110
21	4,79	80
21,3	4,795	130
21,6	4,79	110
21,9	4,795	70
22,201	4,79	110
22,5	4,795	60
22,8	4,79	60
23,1	4,795	80
23,401	4,795	140
23,701	4,79	120
24	4,795	110
24,3	4,79	90
24,6	4,775	90
24,901	4,795	110
25,2	4,795	120
25,5	4,79	130
25,8	4,79	110
26,1	4,79	120
26,401	4,795	150
26,7	4,79	50
27	4,8	40
27,3	4,795	120
27,6	4,795	100
27,901	4,795	100
28,2	4,795	90
28,5	4,795	130
28,8	4,785	100
29,1	4,795	100
29,4	4,8	80
29,7	4,78	40
30	4,79	80
